Variable 1,Variable 2,Importance,Group
Artist_Career_timeline,Artwork_Creative_fields-(Illustration),0.005368514326027,Artist & Artwork
Artist_Career_timeline,Artist_Platform_membership_join_year_2012,0.0032519616142516277,Artist & Artist
Artist_Career_timeline,Artist_Platform_membership_join_year_2008,0.006212648823807638,Artist & Artist
Artist_Career_timeline,Artist_Residency-(United Kingdom),0.00435205718080187,Artist & Artist
Artist_Career_timeline,Artist_Residency-(United Arab Emirates),0.001928948160815007,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Sweden),0.0022005722808392937,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Poland),0.004761662293572717,Artist & Artist
Artist_Career_timeline,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.012916813023777061,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Netherlands),0.006363318904697389,Artist & Artist
Artist_Career_timeline,Artist_Residency-(France),0.005150097995223821,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Finland),0.0009542447120790437,Artist & Artist
Artist_Career_timeline,Artist_Residency-(China),0.0010023651714434953,Artist & Artist
Artist_Career_timeline,Artwork_Visual_Features_saturation_Standard_deviation,0.011545600762319263,Artist & Artwork
Artist_Career_timeline,Artwork_Visual_Features_latent_PCA_embeddings_dim-104,0.007596368500235705,Artist & Artwork
Artist_Career_timeline,Artwork_Creative_fields-(Architecture),0.0007938893599054661,Artist & Artwork
Artist_Career_timeline,Artist_Residency-(Italy),0.00885571050866968,Artist & Artist
Artist_Career_timeline,Artwork_Creative_fields-(Drawing),0.002778200787382413,Artist & Artwork
Artist_Curation_status_of_the_last_project,Artist_Collaborator_count,0.0035309535876175877,Artist & Artist
Artist_Curation_status_of_the_last_project,Artist_Inter_project_publication_period,0.003852710519647489,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Collaborator_count,0.005477305982729412,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_distance_HSV_Neighboring,0.005251161557994072,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_distance_RGB_Neighboring,0.002738251694373869,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.008579336103746863,Artist & Artist
Artist_Platform_membership_join_year_2013,Artist_Collaborator_count,0.00992773884566221,Artist & Artist
Artist_Platform_membership_join_year_2015,Artist_Visual_distance_HSV_Neighboring,0.002810149656534917,Artist & Artist
Artist_Residency-(Australia),Artist_Platform_membership_join_year_2014,0.0010239880507215476,Artist & Artist
Artist_Residency-(Austria),Artist_Platform_membership_join_year_2009,0.0011743236329991916,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_HSV_Neighboring,0.001038774062061438,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_CH_Neighboring,0.0027300267129035955,Artist & Artist
Artist_Residency-(Brazil),Artist_Platform_membership_join_year_2009,0.0017227615235195775,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Platform_membership_join_year_2008,0.0006785256326913734,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Topic_diversity,0.0007718158376687623,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Visual_distance_CH_Neighboring,0.001138539105509984,Artist & Artist
Artist_Residency-(Canada),Artist_Platform_membership_join_year_2012,0.003496959097255269,Artist & Artist
Artist_Residency-(China),Artist_Visual_distance_RGB_Neighboring,0.0016709593262746079,Artist & Artist
Artist_Residency-(China),Artist_Visual_distance_HSV_Neighboring,0.002505528176776823,Artist & Artist
Artist_Residency-(China),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.003158194854534276,Artist & Artist
Artist_Residency-(Colombia),Artist_Platform_membership_join_year_2011,0.001817338930670376,Artist & Artist
Artist_Residency-(Colombia),Artist_Platform_membership_join_year_2010,0.0015972299687259312,Artist & Artist
Artist_Residency-(Czech Republic),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0007510993349965737,Artist & Artist
Artist_Residency-(Denmark),Artist_Topic_diversity,0.0027616798557991594,Artist & Artist
Artist_Residency-(Finland),Artist_Collaborator_count,0.00043034196677377116,Artist & Artist
Artist_Residency-(Finland),Artist_Topic_diversity,0.0007314074619158718,Artist & Artist
Artist_Residency-(Finland),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0012394742504970805,Artist & Artist
Artist_Residency-(Finland),Artist_Platform_membership_join_year_2010,0.000316056041997235,Artist & Artist
Artist_Residency-(Finland),Artist_Platform_membership_join_year_2009,0.0005210707364019615,Artist & Artist
Artist_Residency-(France),Artist_Platform_membership_join_year_2009,0.004856057308244195,Artist & Artist
Artist_Residency-(France),Artist_Collaborator_count,0.002993005159392166,Artist & Artist
Artist_Residency-(France),Artist_Visual_distance_CH_Neighboring,0.004157739844473342,Artist & Artist
Artist_Residency-(France),Artist_Platform_membership_join_year_2011,0.003260049603352188,Artist & Artist
