Variable 1,Variable 2,Importance,Group
Artist_Career_timeline,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.012650719622330654,Artist & Artist
Artist_Career_timeline,Artist_Residency-(United Kingdom),0.004009564537277015,Artist & Artist
Artist_Career_timeline,Artist_Residency-(United Arab Emirates),0.001306149402065998,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Sweden),0.0023559585268297465,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Poland),0.002775358502586633,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Netherlands),0.005578980125111029,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Italy),0.008705276192549355,Artist & Artist
Artist_Career_timeline,Artist_Residency-(France),0.004994596279051172,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Finland),0.000786583704243745,Artist & Artist
Artist_Career_timeline,Artist_Residency-(China),0.0017572565341006977,Artist & Artist
Artist_Career_timeline,Artwork_Creative_fields-(Illustration),0.005243053570458993,Artist & Artwork
Artist_Career_timeline,Artwork_Creative_fields-(Drawing),0.00241775078478512,Artist & Artwork
Artist_Career_timeline,Artwork_Creative_fields-(Architecture),0.0009311049237167506,Artist & Artwork
Artist_Career_timeline,Artwork_Visual_Features_latent_PCA_embeddings_dim-104,0.008114613504545174,Artist & Artwork
Artist_Career_timeline,Artwork_Visual_Features_saturation_Standard_deviation,0.010278626076577918,Artist & Artwork
Artist_Curation_status_of_the_last_project,Artist_Collaborator_count,0.0031396626744693494,Artist & Artist
Artist_Curation_status_of_the_last_project,Artist_Inter_project_publication_period,0.004109301374691786,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.010061265001013104,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Collaborator_count,0.004126347315161616,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_distance_CH_Neighboring,0.006451948510075864,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_distance_HSV_Neighboring,0.00527737615748452,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_distance_RGB_Neighboring,0.0022552630984748645,Artist & Artist
Artist_Platform_membership_join_year_2013,Artist_Collaborator_count,0.008867573235457879,Artist & Artist
Artist_Platform_membership_join_year_2014,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0061502189166416105,Artist & Artist
Artist_Platform_membership_join_year_2015,Artist_Visual_distance_HSV_Neighboring,0.003200063274046038,Artist & Artist
Artist_Project_publication_year_2019,Artist_Collaborator_count,0.004069821894014348,Artist & Artist
Artist_Residency-(Australia),Artist_Platform_membership_join_year_2014,0.0009183297457513369,Artist & Artist
Artist_Residency-(Austria),Artist_Platform_membership_join_year_2009,0.001253707565537156,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0033765854596208137,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_HSV_Neighboring,0.0016542846979156008,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_CH_Neighboring,0.0020050929139044495,Artist & Artist
Artist_Residency-(Brazil),Artist_Platform_membership_join_year_2009,0.0022197042675006374,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Topic_diversity,0.000773459202063655,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Visual_distance_CH_Neighboring,0.0010908382838100508,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Platform_membership_join_year_2008,0.0007066697422851677,Artist & Artist
Artist_Residency-(Canada),Artist_Platform_membership_join_year_2012,0.003795698913770959,Artist & Artist
