Variable 1,Variable 2,Importance,Group
Artist_Career_timeline,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.010307512929396424,Artist & Artist
Artist_Career_timeline,Artist_Platform_membership_join_year_2017,0.0014191965231781913,Artist & Artist
Artist_Career_timeline,Artist_Platform_membership_join_year_2013,0.00489580947586126,Artist & Artist
Artist_Career_timeline,Artist_Platform_membership_join_year_2009,0.008398075791852217,Artist & Artist
Artist_Career_timeline,Artist_Residency-(United Kingdom),0.004633170398323628,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Switzerland),0.0008216487930462878,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Poland),0.004961406028007265,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Netherlands),0.0066301558119573655,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Italy),0.007757902472728281,Artist & Artist
Artist_Career_timeline,Artist_Residency-(France),0.00302228721659454,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Finland),0.0005973507520408118,Artist & Artist
Artist_Career_timeline,Artist_Residency-(China),0.0010817447629803854,Artist & Artist
Artist_Career_timeline,Artwork_Creative_fields-(Illustration),0.005213319282283244,Artist & Artwork
Artist_Career_timeline,Artwork_Creative_fields-(Drawing),0.0018231793014594814,Artist & Artwork
Artist_Career_timeline,Artwork_Visual_Features_latent_PCA_embeddings_dim-104,0.0077675157096978925,Artist & Artwork
Artist_Curation_status_of_the_last_project,Artist_Collaborator_count,0.0024250703025936373,Artist & Artist
Artist_Curation_status_of_the_last_project,Artist_Inter_project_publication_period,0.0036124963747469273,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Collaborator_count,0.006630943779684137,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_distance_HSV_Neighboring,0.005589624227667822,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.006160410414690044,Artist & Artist
Artist_Platform_membership_join_year_2013,Artist_Collaborator_count,0.007201717615071177,Artist & Artist
Artist_Platform_membership_join_year_2014,Artist_Topic_diversity,0.0018588147535270568,Artist & Artist
Artist_Platform_membership_join_year_2014,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.004064341266346788,Artist & Artist
Artist_Platform_membership_join_year_2015,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0024887291041254637,Artist & Artist
Artist_Residency-(Australia),Artist_Platform_membership_join_year_2014,0.0007714579645698081,Artist & Artist
Artist_Residency-(Austria),Artist_Platform_membership_join_year_2009,0.0017861392304894662,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_HSV_Neighboring,0.0009737331966327815,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_RGB_Neighboring,0.002527265231208888,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0031030384062497194,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_CH_Neighboring,0.0016476597131981124,Artist & Artist
Artist_Residency-(Brazil),Artist_Platform_membership_join_year_2009,0.002451761477635871,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Platform_membership_join_year_2008,0.0013199079037544339,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Visual_distance_CH_Neighboring,0.0008378133876012252,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Topic_diversity,0.0008339873845182954,Artist & Artist
Artist_Residency-(China),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0020741212688334698,Artist & Artist
Artist_Residency-(China),Artist_Visual_distance_RGB_Neighboring,0.0014312069780987946,Artist & Artist
Artist_Residency-(China),Artist_Visual_distance_HSV_Neighboring,0.0016723620215851817,Artist & Artist
Artist_Residency-(Colombia),Artist_Topic_diversity,0.0018434473532525878,Artist & Artist
Artist_Residency-(Colombia),Artist_Platform_membership_join_year_2011,0.0013339018502458325,Artist & Artist
Artist_Residency-(Colombia),Artist_Platform_membership_join_year_2010,0.001207993810352587,Artist & Artist
Artist_Residency-(Czech Republic),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0007029005068520192,Artist & Artist
Artist_Residency-(Denmark),Artist_Topic_diversity,0.001798711282840244,Artist & Artist
Artist_Residency-(Finland),Artist_Collaborator_count,0.00045209073433392444,Artist & Artist
Artist_Residency-(Finland),Artist_Platform_membership_join_year_2009,0.001047656783792841,Artist & Artist
Artist_Residency-(Finland),Artist_Platform_membership_join_year_2010,0.00016711921192441408,Artist & Artist
Artist_Residency-(Finland),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0011440162572723888,Artist & Artist
Artist_Residency-(Finland),Artist_Topic_diversity,0.0009504098632897921,Artist & Artist
Artist_Residency-(France),Artist_Visual_distance_CH_Neighboring,0.004285318709919928,Artist & Artist
Artist_Residency-(France),Artist_Visual_distance_HSV_Neighboring,0.001458870027772555,Artist & Artist
Artist_Residency-(France),Artist_Platform_membership_join_year_2017,0.0006428270755069137,Artist & Artist
Artist_Residency-(France),Artist_Platform_membership_join_year_2009,0.003942581610995256,Artist & Artist
Artist_Residency-(France),Artist_Platform_membership_join_year_2011,0.003025329980123757,Artist & Artist
Artist_Residency-(Germany),Artist_Platform_membership_join_year_2009,0.002916841004066894,Artist & Artist
Artist_Residency-(Germany),Artist_Platform_membership_join_year_2011,0.006280668993358487,Artist & Artist
Artist_Residency-(Germany),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0018471793663505404,Artist & Artist
Artist_Residency-(Greece),Artist_Platform_membership_join_year_2010,0.0025530177571306202,Artist & Artist
Artist_Residency-(Iceland),Artist_Platform_membership_join_year_2007,0.000543941498597143,Artist & Artist
Artist_Residency-(Iceland),Artist_Platform_membership_join_year_2009,0.0007968590852249427,Artist & Artist
Artist_Residency-(Israel),Artist_Platform_membership_join_year_2010,0.0011615766849191872,Artist & Artist
Artist_Residency-(Italy),Artist_Collaborator_count,0.0031598083959912286,Artist & Artist
Artist_Residency-(Italy),Artist_Platform_membership_join_year_2013,0.002468907262046908,Artist & Artist
Artist_Residency-(Japan),Artist_Topic_diversity,0.0018790225847988406,Artist & Artist
Artist_Residency-(Japan),Artist_Inter_project_publication_period,0.002594360120174562,Artist & Artist
Artist_Residency-(Japan),Artist_Platform_membership_join_year_2010,0.001836281736370005,Artist & Artist
Artist_Residency-(Lithuania),Artist_Platform_membership_join_year_2016,0.0011229480842940463,Artist & Artist
Artist_Residency-(Mexico),Artist_Platform_membership_join_year_2008,0.0015315979741180878,Artist & Artist
Artist_Residency-(Mexico),Artist_Platform_membership_join_year_2010,0.00016415246273712638,Artist & Artist
Artist_Residency-(Netherlands),Artist_Visual_distance_CH_Neighboring,0.002561435077051686,Artist & Artist
Artist_Residency-(Netherlands),Artist_Visual_distance_HSV_Neighboring,0.0028025416584682127,Artist & Artist
Artist_Residency-(New Zealand),Artist_Platform_membership_join_year_2013,0.001705319088088605,Artist & Artist
Artist_Residency-(New Zealand),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.00122953601452696,Artist & Artist
Artist_Residency-(Norway),Artist_Platform_membership_join_year_2007,0.0015704616899882018,Artist & Artist
Artist_Residency-(Poland),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.00173161835404481,Artist & Artist
Artist_Residency-(Poland),Artist_Platform_membership_join_year_2014,0.00215828782324431,Artist & Artist
