Variable 1,Variable 2,Importance,Group
Artist_Career_timeline,Artwork_Visual_Features_latent_PCA_embeddings_dim-104,0.00960747621330732,Artist & Artwork
Artist_Career_timeline,Artwork_Creative_fields-(Illustration),0.005664900806671705,Artist & Artwork
Artist_Career_timeline,Artist_Residency-(China),0.0020375823221573915,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Finland),0.0009539186188429817,Artist & Artist
Artist_Career_timeline,Artist_Residency-(France),0.004715010801898817,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Netherlands),0.00494918525644987,Artist & Artist
Artist_Career_timeline,Artist_Residency-(Switzerland),0.0010147065161334806,Artist & Artist
Artist_Career_timeline,Artist_Residency-(United Kingdom),0.0014949079831509302,Artist & Artist
Artist_Career_timeline,Artist_Platform_membership_join_year_2017,0.0012902597856195132,Artist & Artist
Artist_Career_timeline,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.011063135811055738,Artist & Artist
Artist_Career_timeline,Artwork_Creative_fields-(Drawing),0.0019749157019255856,Artist & Artwork
Artist_Curation_status_of_the_last_project,Artist_Collaborator_count,0.0024393283741766946,Artist & Artist
Artist_Curation_status_of_the_last_project,Artist_Inter_project_publication_period,0.0033643028348716558,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.005800894145662632,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Collaborator_count,0.006159622180676908,Artist & Artist
Artist_Platform_membership_join_year_2010,Artist_Visual_distance_HSV_Neighboring,0.00590719471951817,Artist & Artist
Artist_Platform_membership_join_year_2013,Artist_Collaborator_count,0.007952376542951615,Artist & Artist
Artist_Platform_membership_join_year_2014,Artist_Topic_diversity,0.002368554589154331,Artist & Artist
Artist_Platform_membership_join_year_2014,Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.003958945775406539,Artist & Artist
Artist_Project_publication_year_2019,Artist_Collaborator_count,0.0033885672014669866,Artist & Artist
Artist_Residency-(Australia),Artist_Platform_membership_join_year_2014,0.001129908552855079,Artist & Artist
Artist_Residency-(Austria),Artist_Platform_membership_join_year_2009,0.0012977916886924156,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_simillarity_latent_PCA_embeddings_Neighboring,0.0027535219151984254,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_RGB_Neighboring,0.002740649959406033,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_HSV_Neighboring,0.0009226650334786267,Artist & Artist
Artist_Residency-(Belgium),Artist_Visual_distance_CH_Neighboring,0.0015000387390988466,Artist & Artist
Artist_Residency-(Brazil),Artist_Platform_membership_join_year_2009,0.002228313957319866,Artist & Artist
Artist_Residency-(Bulgaria),Artist_Visual_distance_CH_Neighboring,0.000893709977034772,Artist & Artist
